Date,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Wind,Relative Humidity,Solar
1/1/1979,-66.875,6.71292018890381,417,28.759,21.125,0.017166132,3.43438723263075,0.721033605715585,23.24092608
1/2/1979,-66.875,6.71292018890381,417,29.487,20.263,0,3.53029407962331,0.658178337099748,22.62476448
1/3/1979,-66.875,6.71292018890381,417,28.848,18.938,0,3.55327015670227,0.633475715622642,25.1812674
1/4/1979,-66.875,6.71292018890381,417,28.763,19.1,0,3.4318790404163,0.644155735357799,25.23796758
1/5/1979,-66.875,6.71292018890381,417,27.859,18.46,0,2.82941917552977,0.655625436856947,22.24473498
1/6/1979,-66.875,6.71292018890381,417,28.11,17.585,0,2.9013977075698,0.640082857675165,25.1282808
1/7/1979,-66.875,6.71292018890381,417,29.799,14.023,0,3.12223367450754,0.592854413948423,25.79242392
1/8/1979,-66.875,6.71292018890381,417,29.873,17.24,0,2.82520292378456,0.585544273721799,24.38077122
1/9/1979,-66.875,6.71292018890381,417,30.321,18.62,0,2.72520826875041,0.599704947641779,22.8690504
1/10/1979,-66.875,6.71292018890381,417,30.643,19.482,0,3.09082987356315,0.599887415509752,24.0452973
1/11/1979,-66.875,6.71292018890381,417,29.656,19.755,1.16643888,2.90736891096861,0.635881386355785,24.84124038
1/12/1979,-66.875,6.71292018890381,417,30.474,20.536,0,3.26868712600253,0.605331545996564,25.0212996
1/13/1979,-66.875,6.71292018890381,417,30.453,18.715,0,3.11005700125373,0.626116682707622,25.08778242
1/14/1979,-66.875,6.71292018890381,417,31.038,19.953,0,3.80114197344335,0.574145242911117,25.6010067
1/15/1979,-66.875,6.71292018890381,417,31.393,19.874,0,3.63882846530745,0.510596816856589,26.1225027
1/16/1979,-66.875,6.71292018890381,417,30.99,19.537,0,3.68577641883641,0.559396820421605,25.80457392
1/17/1979,-66.875,6.71292018890381,417,30.634,19.369,0,3.69579859816594,0.546383042000725,25.9505991
1/18/1979,-66.875,6.71292018890381,417,30.491,18.686,0,3.28580194683771,0.573518291327763,25.78151142
1/19/1979,-66.875,6.71292018890381,417,30.662,18.86,0,3.1400740422485,0.576912917767599,24.80265189
1/20/1979,-66.875,6.71292018890381,417,31.224,20.103,0,2.93126254624909,0.585539742393314,21.39626601
1/21/1979,-66.875,6.71292018890381,417,32.406,19.357,0,2.47130382823577,0.571535877684674,25.5117924
1/22/1979,-66.875,6.71292018890381,417,32.423,20.233,0.077247612,2.23940036932183,0.641262521961841,25.27712388
1/23/1979,-66.875,6.71292018890381,417,32.208,20.568,0.0137329128,3.01348477018602,0.575752484585161,25.04531268
1/24/1979,-66.875,6.71292018890381,417,32.632,20.434,0,3.47312006522664,0.534508408126312,25.63108938
1/25/1979,-66.875,6.71292018890381,417,32.814,21.069,0,2.73770312477683,0.585953833024078,19.94928795
1/26/1979,-66.875,6.71292018890381,417,33.052,20.285,0,1.53899033589657,0.647665875030887,14.84122257
1/27/1979,-66.875,6.71292018890381,417,33.551,19.367,0,2.17409839654024,0.621305708163576,25.42077513
1/28/1979,-66.875,6.71292018890381,417,33.99,22.371,0,3.21582440564637,0.510608752353381,26.00589042
1/29/1979,-66.875,6.71292018890381,417,33.755,20.018,0,2.56055492929636,0.473616400891597,26.08802001
1/30/1979,-66.875,6.71292018890381,417,33.289,21.185,0,2.10216322861231,0.558247880892996,15.68323125
1/31/1979,-66.875,6.71292018890381,417,33.023,21.244,0,2.10841215385873,0.59824358376483,21.04413921
2/1/1979,-66.875,6.71292018890381,417,33.182,21.597,0,3.03091027505441,0.554017399014559,26.50055526
2/2/1979,-66.875,6.71292018890381,417,30.794,20.828,0,4.10159037788043,0.510418178424273,26.5825647
2/3/1979,-66.875,6.71292018890381,417,32.786,20.276,0,4.07343798676934,0.486813781882505,26.79749514
2/4/1979,-66.875,6.71292018890381,417,32.253,20.789,0,3.33022795209284,0.520146512922771,24.62810139
2/5/1979,-66.875,6.71292018890381,417,31.897,20.506,0,3.69712906645394,0.498860930877759,27.09000747
2/6/1979,-66.875,6.71292018890381,417,31.099,20.399,0,3.46039901111102,0.485879213295083,25.26749883
2/7/1979,-66.875,6.71292018890381,417,32.112,20.177,0,3.41338923819578,0.497485556463582,27.14945859
2/8/1979,-66.875,6.71292018890381,417,30.587,19.934,0,3.67361405961302,0.538901314388833,26.90831799
2/9/1979,-66.875,6.71292018890381,417,31.498,19.494,0,2.34171622180629,0.540614739027222,21.99993624
